#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.452674
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-MATE-GAPS

>mateGap	frequency
0	4.88295e-08
1	5.00132e-08
2	6.34783e-08
3	6.78093e-08
4	7.0293e-08
5	6.93808e-08
6	6.79544e-08
7	6.75714e-08
8	6.89358e-08
9	6.7592e-08
10	7.19509e-08
11	7.46636e-08
12	8.67492e-08
13	9.16876e-08
14	9.36193e-08
15	9.2603e-08
16	8.91344e-08
17	9.7617e-08
18	9.87844e-08
19	9.81461e-08
20	1.04689e-07
21	1.13583e-07
22	1.12449e-07
23	1.22972e-07
24	1.26349e-07
25	1.31673e-07
26	1.3578e-07
27	1.40475e-07
28	1.41718e-07
29	1.40912e-07
30	1.36545e-07
31	1.35629e-07
32	1.37636e-07
33	1.33765e-07
34	1.39576e-07
35	1.30498e-07
36	1.26727e-07
37	1.37594e-07
38	1.36175e-07
39	1.40853e-07
40	1.45447e-07
41	1.52661e-07
42	1.63126e-07
43	1.68039e-07
44	1.76018e-07
45	1.88129e-07
46	1.89044e-07
47	1.93739e-07
48	2.00811e-07
49	2.03045e-07
50	2.15769e-07
51	2.31617e-07
52	2.41124e-07
53	2.55376e-07
54	2.78321e-07
55	2.83386e-07
56	2.94623e-07
57	3.06784e-07
58	3.24329e-07
59	3.2385e-07
60	3.28083e-07
61	3.47039e-07
62	3.66574e-07
63	3.69413e-07
64	3.86302e-07
65	4.06459e-07
66	4.22887e-07
67	4.54927e-07
68	4.85969e-07
69	5.02346e-07
70	5.30532e-07
71	5.35109e-07
72	5.55963e-07
73	5.7622e-07
74	6.03499e-07
75	6.41964e-07
76	7.11186e-07
77	7.54086e-07
78	7.97309e-07
79	8.39077e-07
80	8.81803e-07
81	9.08731e-07
82	9.42302e-07
83	9.55012e-07
84	1.00455e-06
85	1.04093e-06
86	1.1381e-06
87	1.19103e-06
88	1.31057e-06
89	1.37943e-06
90	1.50395e-06
91	1.59184e-06
92	1.77468e-06
93	1.96452e-06
94	2.09269e-06
95	2.19733e-06
96	2.24616e-06
97	2.2915e-06
98	2.42404e-06
99	2.46031e-06
100	2.70725e-06
101	3.27809e-06
102	3.9703e-06
103	4.63834e-06
104	5.11012e-06
105	5.52703e-06
106	5.52308e-06
107	5.45146e-06
108	5.65422e-06
109	5.86256e-06
110	6.40945e-06
111	7.45208e-06
112	8.05687e-06
113	1.05228e-05
114	1.35746e-05
115	1.3306e-05
116	1.48686e-05
117	1.40141e-05
118	1.37455e-05
119	1.38676e-05
120	1.43315e-05
121	1.57231e-05
122	1.84576e-05
123	2.37311e-05
124	2.99569e-05
125	3.70616e-05
126	3.58164e-05
127	3.86485e-05
128	3.67686e-05
129	3.67198e-05
130	3.44736e-05
131	3.81847e-05
132	4.2091e-05
133	4.99037e-05
134	6.22332e-05
135	7.56125e-05
136	8.15941e-05
137	8.88697e-05
138	8.99928e-05
139	8.31078e-05
140	7.9763e-05
141	8.06907e-05
142	8.81617e-05
143	0.000104544
144	0.000124906
145	0.000153569
146	0.000182525
147	0.000192803
148	0.000194781
149	0.000184771
150	0.000180059
151	0.000178252
152	0.000184893
153	0.00020213
154	0.000236262
155	0.000283675
156	0.000333701
157	0.000374254
158	0.000394786
159	0.000386266
160	0.000374766
161	0.000362461
162	0.000357017
163	0.000378038
164	0.000417858
165	0.000488344
166	0.000575334
167	0.000651678
168	0.000703731
169	0.000718746
170	0.000696773
