#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.594951
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-SMALL-GAPS-ROLLUP

>gaps	frequency
-2;0;6	0.554673
-2;0;5	0.250033
-2;0;7	0.0603551
-1;0;6	0.0398276
-2;1;6	0.0190258
-1;0;5	0.0179533
-3;2;6	0.0155056
-2;1;5	0.00857634
-3;2;5	0.00698951
-1;0;7	0.00433372
-3;1;6	0.0039949
-2;0;4	0.00216782
-2;1;7	0.00207023
-4;2;6	0.00206357
-3;1;5	0.0018008
-3;2;7	0.00168719
-4;2;5	0.000930207
-2;2;6	0.000756431
-3;0;6	0.000684877
-1;1;6	0.000593581
-2;0;3	0.000548857
-3;1;7	0.000434693
-2;0;8	0.000429917
-2;2;5	0.00034098
-3;3;6	0.000337902
-3;0;5	0.000308725
-4;3;6	0.000304106
-1;1;5	0.000267571
-4;0;6	0.000235235
-4;2;7	0.000224542
-2;3;6	0.000209232
0;0;6	0.000194027
1;0;6	0.00019243
-1;0;4	0.000155657
-3;3;5	0.000152318
-4;3;5	0.000137083
-4;0;5	0.000106038
-2;3;5	9.43167e-05
0;0;5	8.74625e-05
1;0;5	8.67425e-05
-2;2;7	8.23088e-05
-3;0;7	7.45228e-05
-2;1;4	7.4358e-05
-1;3;6	6.66349e-05
-1;1;7	6.45888e-05
0;3;6	6.10447e-05
-3;2;4	6.06001e-05
1;3;6	5.99778e-05
-1;2;6	4.29453e-05
-1;0;3	3.941e-05
-3;3;7	3.67678e-05
-4;3;7	3.30904e-05
-1;0;8	3.08697e-05
-1;3;5	3.00373e-05
0;3;5	2.75174e-05
1;3;5	2.70365e-05
-4;0;7	2.55964e-05
-2;3;7	2.2767e-05
0;0;7	2.11125e-05
1;0;7	2.09387e-05
-1;2;5	1.93587e-05
-2;1;3	1.88263e-05
-3;1;4	1.56132e-05
-3;2;3	1.5343e-05
-4;1;6	1.50583e-05
-2;1;8	1.47465e-05
-3;2;8	1.20181e-05
1;1;6	8.07541e-06
-4;2;4	8.06503e-06
0;1;6	7.41098e-06
-1;3;7	7.25068e-06
-4;1;5	6.78792e-06
0;3;7	6.6424e-06
1;3;7	6.52631e-06
1;2;6	6.26483e-06
0;2;6	5.58123e-06
-1;2;7	4.67297e-06
-3;1;3	3.95301e-06
1;1;5	3.64019e-06
0;1;5	3.34068e-06
-3;1;8	3.09638e-06
-2;2;4	2.95634e-06
1;2;5	2.82403e-06
-3;0;4	2.67669e-06
0;2;5	2.51588e-06
-1;1;4	2.31988e-06
-4;2;3	2.04193e-06
-4;1;7	1.63853e-06
-4;2;8	1.59944e-06
-3;3;4	1.32062e-06
-4;3;4	1.18853e-06
-4;0;4	9.19363e-07
1;1;7	8.78702e-07
-2;3;4	8.17739e-07
0;1;7	8.06404e-07
0;0;4	7.58312e-07
1;0;4	7.5207e-07
-2;2;3	7.48498e-07
1;2;7	6.81689e-07
-3;0;3	6.77694e-07
0;2;7	6.07305e-07
-1;1;3	5.87356e-07
-2;2;8	5.86296e-07
-3;0;8	5.30836e-07
-1;1;8	4.60074e-07
-3;3;3	3.34359e-07
-4;3;3	3.00917e-07
-3;3;8	2.61902e-07
-1;3;4	2.60428e-07
0;3;4	2.3858e-07
-4;3;8	2.35707e-07
1;3;4	2.3441e-07
-4;0;3	2.32768e-07
-2;3;3	2.07038e-07
0;0;3	1.91992e-07
1;0;3	1.90412e-07
-4;0;8	1.82326e-07
-1;2;4	1.67842e-07
-2;3;8	1.62172e-07
0;0;8	1.50387e-07
1;0;8	1.49149e-07
-1;3;3	6.59361e-08
0;3;3	6.04046e-08
1;3;3	5.93488e-08
-4;1;4	5.88522e-08
-1;3;8	5.16475e-08
0;3;8	4.73147e-08
1;3;8	4.64877e-08
-1;2;3	4.2495e-08
-1;2;8	3.32862e-08
1;1;4	3.1561e-08
0;1;4	2.89642e-08
1;2;4	2.44847e-08
0;2;4	2.1813e-08
-4;1;3	1.49004e-08
-4;1;8	1.16715e-08
1;1;3	7.99073e-09
0;1;3	7.33326e-09
1;1;8	6.25911e-09
1;2;3	6.19913e-09
0;1;8	5.74412e-09
0;2;3	5.5227e-09
1;2;8	4.85576e-09
0;2;8	4.32591e-09
