#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.641981
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-SMALL-GAPS-ROLLUP

>gaps	frequency
6;0;-2	0.443151
5;0;-2	0.287305
4;0;-2	0.0670866
7;0;-2	0.0570146
6;0;-1	0.0259481
6;1;-2	0.0205035
6;2;-3	0.0185683
5;0;-1	0.0168228
5;1;-2	0.0132929
5;2;-3	0.0120382
4;0;-1	0.00392816
3;0;-2	0.00335562
7;0;-1	0.00333841
4;1;-2	0.00310393
4;2;-3	0.00281096
6;1;-3	0.00266912
7;1;-2	0.00263793
7;2;-3	0.00238894
5;1;-3	0.00173046
6;2;-4	0.00172678
6;2;-2	0.00114465
5;2;-4	0.00111951
8;0;-2	0.000810225
5;2;-2	0.000742102
4;1;-3	0.000404066
6;0;-3	0.000369353
6;1;-1	0.000367753
6;3;-3	0.000346233
7;1;-3	0.000343402
4;2;-4	0.000261409
5;0;-3	0.00023946
5;1;-1	0.000238423
6;3;-2	0.000234451
6;3;-4	0.000233626
5;3;-3	0.000224471
7;2;-4	0.000222162
3;0;-1	0.000196483
4;2;-2	0.000173283
6;0;-4	0.000170562
6;0;0	0.000168085
6;0;1	0.000160602
3;1;-2	0.000155256
5;3;-2	0.000152
5;3;-4	0.000151465
7;2;-2	0.000147267
3;2;-3	0.000140602
5;0;-4	0.000110579
5;0;0	0.000108973
5;0;1	0.000104122
6;2;-1	9.9447e-05
5;2;-1	6.44739e-05
4;0;-3	5.59146e-05
4;1;-1	5.56724e-05
6;3;-1	5.44972e-05
4;3;-3	5.24145e-05
6;3;1	5.10034e-05
6;3;0	5.02964e-05
7;0;-3	4.75199e-05
8;0;-1	4.74416e-05
7;1;-1	4.73141e-05
7;3;-3	4.45453e-05
8;1;-2	3.74872e-05
4;3;-2	3.54925e-05
4;3;-4	3.53675e-05
5;3;-1	3.53318e-05
8;2;-3	3.39489e-05
5;3;1	3.30667e-05
5;3;0	3.26083e-05
7;3;-2	3.01639e-05
7;3;-4	3.00576e-05
4;0;-4	2.58206e-05
4;0;0	2.54455e-05
4;0;1	2.43127e-05
7;0;-4	2.1944e-05
7;0;0	2.16253e-05
7;0;1	2.06625e-05
3;1;-3	2.02111e-05
4;2;-1	1.50548e-05
3;2;-4	1.30755e-05
7;2;-1	1.27946e-05
6;1;-4	1.06569e-05
3;2;-2	8.66747e-06
4;3;-1	8.25008e-06
6;1;1	7.99395e-06
6;1;0	7.86493e-06
4;3;1	7.72117e-06
4;3;0	7.61413e-06
6;2;1	7.28693e-06
7;3;-1	7.01146e-06
6;2;0	6.94117e-06
5;1;-4	6.90911e-06
7;3;1	6.56195e-06
7;3;0	6.47099e-06
5;1;1	5.18267e-06
5;1;0	5.09902e-06
8;1;-3	4.88003e-06
5;2;1	4.72429e-06
5;2;0	4.50012e-06
8;2;-4	3.15711e-06
3;0;-3	2.7968e-06
3;1;-1	2.78469e-06
3;3;-3	2.62173e-06
8;2;-2	2.09279e-06
3;3;-2	1.77531e-06
3;3;-4	1.76905e-06
4;1;-4	1.6133e-06
7;1;-4	1.37108e-06
3;0;-4	1.29152e-06
3;0;0	1.27277e-06
3;0;1	1.2161e-06
4;1;1	1.21017e-06
4;1;0	1.19064e-06
4;2;1	1.10314e-06
4;2;0	1.05079e-06
7;1;1	1.02848e-06
7;1;0	1.01188e-06
7;2;1	9.37517e-07
7;2;0	8.93031e-07
3;2;-1	7.5303e-07
8;0;-3	6.75298e-07
8;1;-1	6.72373e-07
8;3;-3	6.33027e-07
8;3;-2	4.28654e-07
8;3;-4	4.27144e-07
3;3;-1	4.12662e-07
3;3;1	3.86206e-07
3;3;0	3.80853e-07
8;0;-4	3.11843e-07
8;0;0	3.07314e-07
8;0;1	2.93632e-07
8;2;-1	1.81822e-07
8;3;-1	9.96387e-08
8;3;1	9.32509e-08
8;3;0	9.19582e-08
3;1;-4	8.06958e-08
3;1;1	6.05316e-08
3;1;0	5.95547e-08
3;2;1	5.51779e-08
3;2;0	5.25597e-08
8;1;-4	1.94843e-08
8;1;1	1.46156e-08
8;1;0	1.43797e-08
8;2;1	1.33229e-08
8;2;0	1.26907e-08
