#SUBSET	chr21
#SUBSET_SOFTWARE	SECS_1.8.2.1
#ASSEMBLY_ID	GS19240-180-36-21-ASM
#DBSNP_BUILD	dbSNP build 130
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 05:39:36.249717
#GENERATED_BY	callannotate
#GENE_ANNOTATIONS	NCBI build 36.3
#GENOME_REFERENCE	NCBI build 36
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	GENE-VAR-SUMMARY-REPORT

>geneId	mrnaAcc	symbol	chromosome	begin	end	missense	nonsense	nonStop	frameshift	inframe	total	missenseNovel	nonsenseNovel	nonStopNovel	frameshiftNovel	inframeNovel	totalNovel	
7179	NM_199261.2	TPTE	chr21	9928611	10012791	6	0	0	0	1	7	0	0	0	0	0	0
7179	NM_199260.2	TPTE	chr21	9928611	10012791	6	0	0	0	1	7	0	0	0	0	0	0
7179	NM_199259.2	TPTE	chr21	9928611	10012791	6	0	0	0	1	7	0	0	0	0	0	0
85317	NM_181704.1	BAGE4	chr21	10042712	10120796	0	0	0	0	0	0	0	0	0	0	0	0
149992	XR_040882.1	C21orf99	chr21	13332399	13346615	0	0	0	0	0	0	0	0	0	0	0	0
727867	XR_036978.1	LOC727867	chr21	13388697	13451253	0	0	0	0	0	0	0	0	0	0	0	0
100129305	XM_001714760.1	LOC100129305	chr21	13608633	13608822	0	0	0	0	0	0	0	0	0	0	0	0
642460	XR_016169.2	LOC642460	chr21	13678380	13783368	0	0	0	0	0	0	0	0	0	0	0	0
317754	NM_174981.3	POTED	chr21	13904368	13935777	3	0	0	0	0	3	0	0	0	0	0	0
653108	XR_016129.2	LOC653108	chr21	13970190	13973238	0	0	0	0	0	0	0	0	0	0	0	0
441956	NM_001013729.1	LOC441956	chr21	13973491	13975330	0	0	0	0	0	0	0	0	0	0	0	0
441957	XR_016199.1	LOC441957	chr21	14053960	14059031	0	0	0	0	0	0	0	0	0	0	0	0
727987	XR_037005.1	LOC727987	chr21	14085533	14087504	0	0	0	0	0	0	0	0	0	0	0	0
