#GENERATED_BY	cgatools
#GENERATED_AT	2011-Mar-07 14:40:58.431956
#SOFTWARE_VERSION	0.0.0
#TYPE	EVIDENCE_CACHE
#SLIDE	GS10364-FS3
#LANE	L04
#BATCH_FILE_NUMBER	5

>DnbOffsetInLaneFile	IntervalId	Chromosome	Side	Strand	OffsetInAllele	AlleleAlignment	OffsetInReference	ReferenceAlignment	MateOffsetInReference	MateReferenceAlignment	MappingQuality	AlleleConcordance
31842	0	chr21	R	-	12	5M2B10M0N10M7N10M	9719779	5M2B10M0N10M7N10M	9720139	10M6N10M0N10M2B5M	H	0.00243611
250101	0	chr21	L	+	13	5M2B10M0N10M6N10M	9719780	5M2B10M0N10M6N10M	9720077	10M5N10M0N10M1B5M	:	0.258191
31842	0	chr21	R	-	13	5M2B10M0N10M7N10M	9719779	5M2B10M0N10M7N10M	9720139	10M6N10M0N10M2B5M	H	0.00243611
250101	0	chr21	L	+	14	5M2B10M0N10M6N10M	9719780	5M2B10M0N10M6N10M	9720077	10M5N10M0N10M1B5M	:	0.258191
100008	0	chr21	L	+	0	5M2B10M0N10M5N10M	9719767	1I4M2B10M0N10M5N10M	9720037	10M7N10M0N10M2B5M	2	0.169815
141533	1	chr21	L	+	33	5M2B10M0N10M6N10M	9719863	5M2B10M0N10M6N10M	9720176	10M5N10M0N10M2B5M	+	0.00039597
141533	2	chr21	L	+	-29	5M2B10M0N10M6N10M	9719863	5M2B10M0N10M6N10M	9720176	10M5N10M0N10M2B5M	0	0.00126082
278432	2	chr21	R	-	-26	5M2B10M0N10M6N10M	9719866	5M2B10M0N10M6N10M	9720173	10M6N10M1N10M2B5M	J	0.0300951
431770	2	chr21	L	+	1	5M2B10M0N10M4N10M	9719893	5M2B10M0N10M4N10M	9720173	10M5N10M0N10M2B5M	-	0.000759307
141533	2	chr21	L	+	-29	5M2B10M0N10M6N10M	9719863	5M2B10M0N10M6N10M	9720176	10M5N10M0N10M2B5M	0	1.66351e-72
278432	2	chr21	R	-	-26	5M2B10M0N10M6N10M	9719866	5M2B10M0N10M6N10M	9720173	10M6N10M1N10M2B5M	J	7.52641e-67
431770	2	chr21	L	+	1	5M2B10M0N10M4N10M	9719893	5M2B10M0N10M4N10M	9720173	10M5N10M0N10M2B5M	-	2.03364e-71
141533	2	chr21	L	+	-29	5M2B10M0N10M6N10M	9719863	5M2B10M0N10M6N10M	9720176	10M5N10M0N10M2B5M	0	3.44737e-64
278432	2	chr21	R	-	-26	5M2B10M0N10M6N10M	9719866	5M2B10M0N10M6N10M	9720173	10M6N10M1N10M2B5M	J	1.49794e-71
431770	2	chr21	L	+	1	5M2B10M0N10M4N10M	9719893	5M2B10M0N10M4N10M	9720173	10M5N10M0N10M2B5M	-	2.087e-65
250101	5	chr21	R	+	4	10M5N10M0N10M1B5M	9720077	10M5N10M0N10M1B5M	9719780	5M2B10M0N10M6N10M	T	0.01145
250101	5	chr21	R	+	4	10M5N10M0N10M1B5M	9720077	10M5N10M0N10M1B5M	9719780	5M2B10M0N10M6N10M	T	8.44528e-77
250101	5	chr21	R	+	4	10M5N10M0N10M1B5M	9720077	10M5N10M0N10M1B5M	9719780	5M2B10M0N10M6N10M	T	5.06301e-74
97421	8	chr21	L	+	-21	5M3B10M2N10M5N10M	9720200	5M3B10M2N10M5N10M	9720509	10M6N10M0N10M2B5M	$	0.00337291
97421	8	chr21	L	+	-21	5M3B10M2N10M5N10M	9720200	5M3B10M2N10M5N10M	9720509	10M6N10M0N10M2B5M	$	0.00337291
246918	8	chr21	R	-	-13	5M2B10M0N10M6N10M	9720208	5M2B10M0N10M6N10M	9720610	10M6N10M0N10M2B5M	>	0.234249
385511	8	chr21	R	-	-2	5M2B10M0N10M6N10M	9720219	5M2B10M0N10M6N10M	9720527	10M5N10M0N10M2B5M	%	0.182055
97421	8	chr21	L	+	-21	5M3B10M2N10M5N10M	9720200	5M3B10M2N10M5N10M	9720509	10M6N10M0N10M2B5M	$	1.55005e-58
97421	8	chr21	L	+	-21	5M3B10M2N10M5N10M	9720200	5M3B10M2N10M5N10M	9720509	10M6N10M0N10M2B5M	$	1.44647e-56
246918	8	chr21	R	-	-13	5M2B10M0N10M6N10M	9720208	5M2B10M0N10M6N10M	9720610	10M6N10M0N10M2B5M	>	8.29816e-60
385511	8	chr21	R	-	-2	5M2B10M0N10M6N10M	9720219	5M2B10M0N10M6N10M	9720527	10M5N10M0N10M2B5M	%	1.26167e-64
97421	8	chr21	L	+	-21	5M3B10M2N10M5N10M	9720200	5M3B10M2N10M5N10M	9720509	10M6N10M0N10M2B5M	$	1.02928e-77
97421	8	chr21	L	+	-21	5M3B10M2N10M5N10M	9720200	5M3B10M2N10M5N10M	9720509	10M6N10M0N10M2B5M	$	3.48224e-76
246918	8	chr21	R	-	-13	5M2B10M0N10M6N10M	9720208	5M2B10M0N10M6N10M	9720610	10M6N10M0N10M2B5M	>	1.30245e-66
385511	8	chr21	R	-	-2	5M2B10M0N10M6N10M	9720219	5M2B10M0N10M6N10M	9720527	10M5N10M0N10M2B5M	%	8.45953e-60
383183	11	chr21	L	+	11	5M2B10M0N10M6N10M	9720368	5M2B10M0N10M6N10M	9720560	10M6N10M0N10M2B5M	5	0.0010044
383183	11	chr21	L	+	11	5M2B10M0N10M6N10M	9720368	5M2B10M0N10M6N10M	9720560	10M6N10M0N10M2B5M	5	3.99675e-68
383183	11	chr21	L	+	11	5M2B10M0N10M6N10M	9720368	5M2B10M0N10M6N10M	9720560	10M6N10M0N10M2B5M	5	8.44748e-72
67401	14	chr21	R	-	-22	5M2B10M0N10M6N10M	9720542	5M2B10M0N10M6N10M	9720784	10M5N10M0N10M1B5M	.	0.000306431
246918	15	chr21	L	-	-9	10M6N10M0N10M2B5M	9720610	10M6N10M0N10M2B5M	9720208	5M2B10M0N10M6N10M	:	0.326693
369217	15	chr21	L	+	20	5M2B10M0N10M6N10M	9720639	5M2B10M0N10M6N10M	9721119	10M7N10M0N10M2B5M	+	0.000972484
369217	15	chr21	L	+	20	5M2B10M0N10M6N10M	9720639	5M2B10M0N10M6N10M	9721119	10M7N10M0N10M2B5M	+	0.000972484
246918	15	chr21	L	-	-9	10M6N10M0N10M2B5M	9720610	10M6N10M0N10M2B5M	9720208	5M2B10M0N10M6N10M	:	2.5045e-67
369217	15	chr21	L	+	20	5M2B10M0N10M6N10M	9720639	5M2B10M0N10M6N10M	9721119	10M7N10M0N10M2B5M	+	1.44399e-63
369217	15	chr21	L	+	20	5M2B10M0N10M6N10M	9720639	5M2B10M0N10M6N10M	9721119	10M7N10M0N10M2B5M	+	8.29644e-71
246918	15	chr21	L	-	-9	10M6N10M0N10M2B5M	9720610	10M6N10M0N10M2B5M	9720208	5M2B10M0N10M6N10M	:	1.31962e-61
369217	15	chr21	L	+	20	5M2B10M0N10M6N10M	9720639	5M2B10M0N10M6N10M	9721119	10M7N10M0N10M2B5M	+	3.81152e-65
369217	15	chr21	L	+	20	5M2B10M0N10M6N10M	9720639	5M2B10M0N10M6N10M	9721119	10M7N10M0N10M2B5M	+	9.27335e-84
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	0.00417839
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	5.43473e-59
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	1.3732e-52
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	9.48869e-64
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	4.24881e-64
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	3.77029e-70
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	1.85434e-70
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	2.32887e-74
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	4.214e-65
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	4.41643e-57
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	3.09007e-57
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	2.41578e-62
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	3.1766e-72
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	2.08937e-68
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	1.01069e-63
67401	18	chr21	L	-	33	10M5N10M0N10M1B5M	9720784	10M5N10M0N10M1B5M	9720542	5M2B10M0N10M6N10M	.	1.43758e-62
181886	34	chr21	R	-	-31	5M2B10M0N10M6N10M	9721481	5M2B10M0N10M6N10M	9721820	10M6N10M0N10M2B5M	%	0.193484
210442	35	chr21	L	-	35	10M6N10M0N10M2B5M	9721597	10M6N10M0N10M2B5M	9721377	5M2B10M0N10M6N10M	/	0.373651
210442	36	chr21	L	-	-24	10M6N10M0N10M2B5M	9721597	10M6N10M0N10M2B5M	9721377	5M2B10M0N10M6N10M	/	0.373651
210442	36	chr21	L	-	-24	10M6N10M0N10M2B5M	9721597	10M6N10M0N10M2B5M	9721377	5M2B10M0N10M6N10M	/	1.96653e-70
215029	38	chr21	L	-	21	10M6N10M0N10M2B5M	9721747	10M6N10M0N10M2B5M	9721406	5M2B10M0N10M6N10M	'	0.395053
215029	39	chr21	L	-	-27	10M6N10M0N10M2B5M	9721747	10M6N10M0N10M2B5M	9721406	5M2B10M0N10M6N10M	'	0.395053
181886	40	chr21	L	-	-1	10M6N10M0N10M2B5M	9721820	10M6N10M0N10M2B5M	9721481	5M2B10M0N10M6N10M	(	0.00231672
361610	40	chr21	L	+	33	5M2B10M0N10M6N10M	9721854	5M2B10M0N10M6N10M	9722124	10M6N10M0N10M2B5M	H	0.351825
181886	40	chr21	L	-	-1	10M6N10M0N10M2B5M	9721820	10M6N10M0N10M2B5M	9721481	5M2B10M0N10M6N10M	(	0.00231672
184565	41	chr21	R	-	51	5M2B10M0N10M7N10M	9721930	5M2B10M0N10M7N10M	9722323	10M5N10M0N10M2B5M	W	0.027526
191227	42	chr21	L	+	-7	5M2B10M0N10M6N10M	9721963	5M2B10M0N10M6N10M	9722234	10M6N10M0N10M2B5M	O	0.0234068
24580	43	chr21	R	+	42	10M5N10M0N10M2B5M	9722065	10M5N10M0N10M2B5M	9721643	5M2B10M0N10M6N10M	+	8.89469e-06
24580	43	chr21	R	+	42	10M5N10M0N10M2B5M	9722065	10M5N10M0N10M2B5M	9721643	5M2B10M0N10M6N10M	+	8.89469e-06
361610	44	chr21	R	+	-26	10M6N10M0N10M2B5M	9722124	10M6N10M0N10M2B5M	9721854	5M2B10M0N10M6N10M	)	0.0071142
191227	45	chr21	R	+	-19	10M6N10M0N10M2B5M	9722234	10M6N10M0N10M2B5M	9721963	5M2B10M0N10M6N10M	O	0.212441
184565	46	chr21	L	-	6	10M5N10M0N10M2B5M	9722323	10M5N10M0N10M2B5M	9721930	5M2B10M0N10M7N10M	U	0.19606
184565	46	chr21	L	-	6	10M5N10M0N10M2B5M	9722323	10M5N10M0N10M2B5M	9721930	5M2B10M0N10M7N10M	U	3.38888e-82
184565	46	chr21	L	-	6	10M5N10M0N10M2B5M	9722323	10M5N10M0N10M2B5M	9721930	5M2B10M0N10M7N10M	U	2.4806e-64
211653	49	chr21	R	+	-21	10M5N10M0N10M2B5M	9722444	10M5N10M0N10M2B5M	9722198	5M2B10M0N10M6N10M	V	0.131207
195453	49	chr21	R	-	-5	5M2B10M0N10M6N10M	9722460	5M2B10M0N10M6N10M	9722763	10M5N10M0N10M2B5M	,	0.20051
211653	49	chr21	R	+	-21	10M5N10M0N10M2B5M	9722444	10M5N10M0N10M2B5M	9722198	5M2B10M0N10M6N10M	V	9.14503e-68
195453	49	chr21	R	-	-5	5M2B10M0N10M6N10M	9722460	5M2B10M0N10M6N10M	9722763	10M5N10M0N10M2B5M	,	2.89217e-63
211653	49	chr21	R	+	-21	10M5N10M0N10M2B5M	9722444	10M5N10M0N10M2B5M	9722198	5M2B10M0N10M6N10M	V	8.3167e-59
195453	49	chr21	R	-	-5	5M2B10M0N10M6N10M	9722460	5M2B10M0N10M6N10M	9722763	10M5N10M0N10M2B5M	,	2.06977e-65
211653	49	chr21	R	+	-21	10M5N10M0N10M2B5M	9722444	10M5N10M0N10M2B5M	9722198	5M2B10M0N10M6N10M	V	1.25286e-62
195453	49	chr21	R	-	-5	5M2B10M0N10M6N10M	9722460	5M2B10M0N10M6N10M	9722763	10M5N10M0N10M2B5M	,	1.06931e-69
211653	49	chr21	R	+	-21	10M5N10M0N10M2B5M	9722444	10M5N10M0N10M2B5M	9722198	5M2B10M0N10M6N10M	V	3.363e-52
195453	49	chr21	R	-	-5	5M2B10M0N10M6N10M	9722460	5M2B10M0N10M6N10M	9722763	10M5N10M0N10M2B5M	,	4.86699e-62
211653	49	chr21	R	+	-21	10M5N10M0N10M2B5M	9722444	10M5N10M0N10M2B5M	9722198	5M2B10M0N10M6N10M	V	7.19056e-62
